Bridgetown_Hostess_name {安吉拉}
GrammonPchar_name {米歇尔}
GrammonPchar_lastname {德 格拉蒙}
OfficerMother_name {丽贝卡 德 格拉蒙}
OfficerMother_lastname {和 马克 拉瓦约}
tmp_soldier0_name {士兵 和}
tmp_soldier0_lastname {马克 拉瓦约}
DorianFurnier_name {多里安}
DorianFurnier_lastname {福尼尔}
FL_Mary_name {玛丽亚}
JozephFushe_name {约瑟夫}
JozephFushe_lastname {富歇}
FL_Petit_name {让}
FL_Petit_lastname {珀蒂}
FL_Pablo_name {巴勃罗}
FL_Pablo_lastname {杰弗里}
JozephFusheFL3_1_name {陌生人}
JozephFusheFL3_1_lastname {和 富歇船长}
FL_DurantePascual_name {杜兰特}
FL_DurantePascual_lastname {帕斯夸尔}
FL1_s68_name {巡逻兵 和}
FL1_s68_lastname {富歇船长}
FL_DuranRimber_name {杜兰}
FL_DuranRimber_lastname {林伯特}
FL_granie_name {让-雅克}
FL_granie_lastname {加尼尔}
FL2_s18_name {让-雅克 加尼尔 和}
FL2_s18_lastname {其中一名强盗}
FL2_s20_name {其中一名强盗 和}
FL2_s20_lastname {杜兰 林伯特}
FL_blackTwister_captain_name {艾米}
FL_blackTwister_captain_lastname {阿尔方德}
FL_ElizabetBrulua_name {伊丽莎白}
FL_ElizabetBrulua_lastname {布吕洛}
diplomat_name {使节}
JohnDavy_name {白色}
JohnDavy_lastname {男孩}
DesMoinesHead_name {费尔南多}
DesMoinesHead_lastname {托雷斯}
Hunter_name {赏金猎人}
Hunter_mapEnc {赏金猎人们}
Andre_Abel_Quest_Pirate_1_name {克里斯蒂安}
Andre_Abel_Quest_Pirate_1_lastname {科普纳}
Andre_Abel_Quest_Pirate_1_ship {极光号}
Andre_Abel_Quest_Pirate_2_name {罗伯特}
Andre_Abel_Quest_Pirate_2_lastname {内德文}
Andre_Abel_Quest_Pirate_2_ship {羚羊号}
Andre_Abel_Quest_Pirate_3_name {托马斯}
Andre_Abel_Quest_Pirate_3_lastname {钱伯斯}
Andre_Abel_Quest_Pirate_3_ship {苏珊号}
Martin_Bleker_name {马丁}
Martin_Bleker_lastname {布莱克}
SiegeCap_mapEnc {海军中队}
Gentlemen_mapEnc {财富绅士}
GhostCapt_name {范}
GhostCapt_lastname {德 戴肯}
GhostCapt_ship {飞翔的荷兰人号}
GhostCapt_mapEnc {飞翔的荷兰人号}
SoleiRoyalCaptain_mapEnc {皇家太阳号}
Sailor_name {吉米}
Sailor_lastname {霍普金斯}
Villemstad_Cemeteryman_name {安东尼奥}
Villemstad_Cemeteryman_lastname {贝坦库尔}
Andre_Abel_name {安德烈}
Andre_Abel_lastname {阿贝尔}
Andre_Abel_ship {俄里翁号}
QStranger_name {亚历克斯}
QStranger_lastname {温纳}
Gillian_Atterbury_name {吉莉安}
Gillian_Atterbury_lastname {阿特伯里}
PDM_PK_Francheska_name {弗朗西丝卡}
PDM_PK_Francheska_lastname {通托}
Josephine_Lodet_name {约瑟芬}
Josephine_Lodet_lastname {洛德}
Albermal_name {阿尔伯马尔}
Albermal_lastname {公爵}
Edward_Mansfield2_name {阿利斯泰尔}
Edward_Mansfield2_lastname {古德}
Legran_name {皮埃尔}
Legran_lastname {拉格朗}
Olone_name {弗朗索瓦}
Olone_lastname {奥洛奈}
Olone_ship {血腥恶魔号}
Bonrepo_name {邦勒波}
Bonrepo_lastname {侯爵}
Chumakeiro_name {亚伦 门德斯}
Chumakeiro_lastname {丘马塞罗}
ServantDEstre_name {圭多}
AntonioDeSouza_name {安东尼奥}
AntonioDeSouza_lastname {德索萨}
JohnLids_name {约翰}
JohnLids_lastname {利兹}
JohnLids_ship {安特卫普号}
AttackSantiago_name {格雷戈里奥 弗洛里多}
AttackSantiago_lastname {德 巴尔博亚}
Himenes_name {何塞 桑乔}
Himenes_lastname {希门尼斯}
InesDeLasCierras_name {伊内斯}
InesDeLasCierras_lastname {德拉斯 西耶拉斯}
AntonioDeBarras_name {安东尼奥}
AntonioDeBarras_lastname {德 巴拉斯}
AntonioDeBarras_ship {伊莎贝拉号}
CaptainGay_name {盖伊}
CaptainGay_lastname {船长}
LizSheppard_name {伊丽莎白}
LizSheppard_lastname {谢泼德}
DanielleOff_name {丹尼尔}
DanielleOff_lastname {谢泼德}
DanielleOff_ship {女王号}
Danielle_mapEnc {快速护卫舰“女王号”}
Alan_MacLine_name {艾伦}
Alan_MacLine_lastname {麦克莱恩}
EdwardLoy_name {爱德华}
EdwardLoy_lastname {洛}
EdwardLoy_mapEnc {海狼号}
GrunMaurits_name {毛里茨}
GrunMaurits_lastname {格伦}
GrunMaurits_ship {路易莎号}
KoriBoll_name {科里}
KoriBoll_lastname {鲍尔}
KoriBoll_ship {巨人号}
QuestPirate2_name {约翰}
QuestPirate2_lastname {伯顿}
Blad_ship {阿拉贝拉号}
Blad2_ship {圣五伤号}
LSC_ship {战獒号}
Providencia_PortMan_ship {塞维利亚号}
MisStid_name {斯蒂德}
MisStid_lastname {夫人}
Waker_name {瓦克}
Waker_lastname {医生}
Den_name {丹}
Den_lastname {先生}
Weston_name {查尔斯}
Weston_lastname {韦斯顿}
Spain_spy2_lastname {西班牙人}
Pablo_Loco_Idol_name {维内图}
Rosita_name {罗西塔}
Rosita_lastname {费尔南德斯}
PDM_Pinki_Skelet_name {黑化}
PDM_Pinki_Skelet_lastname {碧琪}
PDM_Pinki_Skelet2_name {戴夫}
PDM_Pinki_Skelet2_lastname {派罗金}
PDM_NK_Viktor_name {“剃刀”}
PDM_NK_Viktor_lastname {维克托}
FernandoGonsales_name {费尔南多}
FernandoGonsales_lastname {冈萨雷斯}
Monkey_name {猴子}
DeathMonkey_name {不死猴}
Eddy_Black_name {埃迪}
Eddy_Black_lastname {布莱克}
Tizer_name {提塞}
Tizer_lastname {丹}
Kirk_name {柯克}
Kirk_lastname {上校}
Slave_name {维纳里克}
SecretFortCommander_name {尤斯蒂诺}
SecretFortCommander_lastname {德 科埃略}
SecretFortGuard_name {安杰洛}
Tiburon_ship {鲨鱼号}
Stormbreaker_ship {破浪号}
HWIC_head_name {马蒂亚斯}
HWIC_head_lastname {贝克}
PDM_secretary_name {巴塞洛缪}
PDM_secretary_lastname {阿尔斯特}
PDM_ONV_Carla_name {快乐}
PDM_ONV_Carla_lastname {卡拉}
PDM_Octavio_Lambrini_name {奥塔维奥}
PDM_Octavio_Lambrini_lastname {兰布里尼}
Hugo_Lesopilka_name {“伐木工”}
Hugo_Lesopilka_lastname {雨果}
PDM_Odli_name {托马斯}
PDM_Odli_lastname {奥德利}
PDM_ONV_Silino_Sav_name {西利诺}
PDM_ONV_Silino_Sav_lastname {塞夫}
PDM_ONW_Inqizitor_name {审判官}
PDM_CL_Pokupatel_name {詹姆斯}
PDM_CL_Pokupatel_lastname {巴兰特雷}
PDM_Octavio_Lambrini_Clone_name {兰布里尼与陌生人}
Arabella_name {阿拉贝拉}
Kent_name {监工}
Kent_lastname {肯特}
AralellaAndSlave_name {阿拉贝拉和她的仆人}
Mary_name {玛丽}
Mary_lastname {特雷尔}
Governor_Stid {斯蒂德市长}
BishopAndGardner {毕晓普上校和加德纳船长}
BishopAndArabella {毕晓普上校和阿拉贝拉}
CBL_Officers {致船员}
Diego_name {迭戈}
Miguel_name {米格尔}
Esteban_name {埃斯特班}
De_Espinosa_lastname {德·埃斯皮诺萨}
Encarnacion_ship {恩卡纳西翁}
EPL_PZD_Pilar_name {皮拉尔}
EPL_PZD_Pilar_lastname {特尔内拉}
EPL_PZD_Herineldo_name {赫里内尔多}
EPL_PZD_Herineldo_lastname {加尔贝德}
EPL_PZD_Palturs_name {帕尔图斯}
EPL_PZD_Palturs_lastname {凯特}
EPL_PZD_Ruud_name {鲁德}
EPL_PZD_Ruud_lastname {布鲁尔}
EPL_PZD_Andres_name {安德烈斯}
EPL_PZD_Andres_lastname {福塞卡}
EPL_PZD_Aletta_name {阿莱塔}
EPL_PZD_Gabriel_name {加布里埃尔}
EPL_PZD_Gabriel_lastname {德·塞古恩萨}
EPL_Rebekka_name {丽贝卡}
EPL_Rebekka_lastname {雷米多斯}
EPL_Aurelio_name {奥雷利奥}
EPL_Aurelio_lastname {塞拉诺}
EPL_Gasten_name {加斯滕}
EPL_Gasten_lastname {科特斯}
EPL_Sofia_name {索菲娅}
EPL_Sofia_lastname {德拉皮耶达}
Remedios_lastname {雷梅迪奥斯}
EPL_RedBull_ship {红牛}

Alonso_de_Torralba_name {阿隆索}
Alonso_de_Torralba_lastname {德·托拉尔巴}
Esteban_Molina_name {埃斯特班}
Esteban_Molina_lastname {莫利纳}
Martin_Kesada_name {马丁}
Martin_Kesada_lastname {克萨达}
Buccaneer_trader_name {英格博格}
Buccaneer_trader_lastname {达普库奈特}
Buccaneer_shipyarder_1_name {夏尔}
Buccaneer_shipyarder_1_lastname {沃邦}
Esteban_Molina_ship {拉帕洛玛}
Martin_Kesada_ship {圣卡塔利娜}
Royal_SantaMarta_Cap_ship {圣罗莎}
Royal_SanIldefonso_Cap_ship {圣伊尔德丰索}
Royal_NuestraSenora_Cap_ship {圣母}
Royal_SanJuan_Cap_ship {圣米格尔}
Margarita_Prize_ship {玛格丽塔}
Atauko_name {阿陶科}

Bartolomeo_Huntsman_name {巴托洛梅奥}

Bertran_Waband_lastname {波带}

Bertran_Waband_name {伯特兰}

Captain_Hollis_lastname {霍利斯}

Captain_Hollis_name {指挥官}

Daniel_Monbar_lastname {蒙巴尔}

Daniel_Monbar_name {丹尼尔}

Daniel_Monbar_ship {金色卡斯蒂利亚}
Daniel_Monbar_ship_Monbarina {蒙巴里娜}

Diego_de_Vargas_lastname {瓦尔加斯}

Diego_de_Vargas_name {迭戈}

Diego_de_Vargas_ship {圣玛格丽塔}

Esteban_Ruiz_lastname {鲁伊斯}

Esteban_Ruiz_name {埃斯特班}

Etien_Marso_lastname {马尔索}

Etien_Marso_name {艾蒂安}

Etien_Marso_ship {黑背鸥}

Fransua_Olone_lastname {奥隆}

Fransua_Olone_name {弗朗索瓦}

Fransua_Olone_ship_Fleo {弗利奥}

Fransua_Olone_ship_Soledad {索莱达}

Gaspar_Leru_lastname {勒鲁}

Gaspar_Leru_name {加斯帕}

Henry_Tessie_lastname {泰西尔}

Henry_Tessie_name {亨利}

Ignasio_Vela_lastname {维拉}

Ignasio_Vela_name {伊格纳西奥}

Inigo_Cabrera_lastname {德卡布雷拉}

Inigo_Cabrera_name {伊尼戈}

Keys_lagoon_Punitive_Cap_1_ship {圣地亚哥}

Keys_lagoon_Punitive_Cap_2_ship {圣卡塔利娜}

Keys_lagoon_Punitive_Cap_3_ship {维多利亚女王}

Keys_lagoon_Punitive_Cap_4_ship {圣米格尔}

Keys_lagoon_Punitive_mapEnc {唐·阿隆索·德·巴尔加斯的惩罚中队}

Luc_Delacroix_lastname {德拉克罗瓦}

Luc_Delacroix_name {卢克}

Maracaibo_Mayor_lastname {德·塞斯佩德斯}

Maracaibo_Mayor_name {罗德里戈}

Mary_Belfler_lastname {贝勒弗勒}

Mary_Belfler_name {玛丽}

Mateo_Serrano_lastname {塞拉诺}

Mateo_Serrano_name {马特奥}

Mayak_Bandit_1_lastname {戴着口罩}

Mayak_Bandit_1_name {人类}

Mishel_le_Bask_lastname {巴斯克人}

Mishel_le_Bask_name {米歇尔}

Mishel_le_Bask_ship {勒雷纳尔}

Old_Loren_lastname {劳伦}

Old_Loren_name {渔夫}

Raul_Giom_lastname {纪尧姆}

Raul_Giom_name {劳尔}

Rimalier_lastname {里迈勒}

Rimalier_name {尼古拉斯}

Royal_SanJacinto_Cap_lastname {阿拉贡}

Royal_SanJacinto_Cap_name {胡安}

Royal_SanJacinto_Cap_ship {圣哈辛托}

Royal_matros_name {水手}

Sebastian_Rohas_lastname {罗哈斯}

