Antigua {安提瓜}
Shore49 {帕帕加约湾}
Shore50 {尼科亚湾}
Shore51 {科罗纳多湾}
Shore52 {杜尔塞湾}
Shore53 {蚊子海岸}
Shore54 {佩拉斯角}
Shore55 {北圣胡安湾}
Shore56 {北湾}
Shore57 {南湾}
Shore58 {鱼眼海滩}
Shore59 {斯卡伯勒湾}
Shore60 {加莱拉角}
Shore61 {特佩亚卡克}
Shore62 {伊斯塔帕拉帕}
Shore63 {圣米格尔湾}
Shore64 {曼萨尼约海滩}
Shore65 {摩根角}
Shore66	{牛角湾}
Shore67	{博卡王子湾}
Shore68	{帕登湾}

Shore_ship1 {沉船湾}
Shore_ship2 {厄运湾}
Shore_ship3 {失望角}

Mayak1 {特立尼达灯塔}
Mayak2 {巴巴多斯灯塔}
Mayak3 {皇家港灯塔}
Mayak4 {瓜德罗普灯塔}
Mayak5 {尼维斯灯塔}
Mayak6 {托尔图加灯塔}
Mayak7 {太子港灯塔}
Mayak8 {圣多明各灯塔}
Mayak9 {圣地亚哥灯塔}
Mayak10 {哈瓦那灯塔}
Mayak11 {卡塔赫纳灯塔}

Bridgetown {布里奇敦}
Bridgetown Town {布里奇敦}
Bridgetown Fort {布里奇敦要塞}
Bridgetown Port {布里奇敦港口}

SanJuan {圣胡安}
SanJuan Town {圣胡安}
SanJuan Fort {圣胡安要塞}
SanJuan Port {圣胡安港口}

Santiago {圣地亚哥}
Santiago Town {圣地亚哥}
Santiago Fort {圣地亚哥要塞}
Santiago Port {圣地亚哥港口}

PuertoPrincipe {普林西比港}
PuertoPrincipe Town {普林西比港}
PuertoPrincipe Fort {普林西比港要塞}
PuertoPrincipe Port {普林西比港港口}

SentJons {圣约翰}
SentJons Town {圣约翰}
SentJons Fort {圣约翰要塞}
SentJons Port {圣约翰港口}

PortRoyal {皇家港}
PortRoyal Town {皇家港}
PortRoyal Fort {皇家港要塞}
PortRoyal Port {皇家港港口}

FortOrange {奥兰治堡}
FortOrange Town {奥兰治堡}

Villemstad {威廉斯塔德}
Villemstad Town {威廉斯塔德}
Villemstad Fort {威廉斯塔德要塞}
Villemstad Port {威廉斯塔德港口}

BasTer {巴斯特尔}
BasTer Town {巴斯特尔}
BasTer Fort {巴斯特尔要塞}
BasTer Port {巴斯特尔港口}

LaVega {拉维加}
LaVega Town {拉维加}
LaVega Fort {拉维加要塞}
LaVega Port {拉维加港口}

SantoDomingo {圣多明各}
SantoDomingo Town {圣多明各}
SantoDomingo Fort {圣多明各要塞}
SantoDomingo Port {圣多明各港口}

PortPax {太子港}
PortPax Town {太子港}
PortPax Fort {太子港要塞}
PortPax Port {太子港港口}

Pirates {海盗营地}
Pirates Town {海盗营地}
Pirates Port {海盗营地港口}

FortFrance {法兰西堡}
FortFrance Town {法兰西堡}
FortFrance Fort {法兰西堡要塞}
FortFrance Port {法兰西堡港口}

LeFransua {勒弗朗索瓦}
LeFransua Town {勒弗朗索瓦}
LeFransua Port {勒弗朗索瓦港口}

Havana {哈瓦那}
Havana Town {哈瓦那}
Havana Fort {哈瓦那要塞}
Havana Port {哈瓦那港口}

Charles {查尔斯顿}
Charles Town {查尔斯顿}
Charles Fort {查尔斯顿要塞}
Charles Port {查尔斯顿港口}

PortoBello Town {贝洛港}
PortoBello Fort {贝洛港要塞}
PortoBello Port {贝洛港港口}

PortSpein {西班牙港}
PortSpein Town {西班牙港}
PortSpein Fort {西班牙港要塞}
PortSpein Port {西班牙港港口}

Tortuga Town {托尔图加}
Tortuga Fort {托尔图加要塞}
Tortuga Port {托尔图加港口}

Marigo {马里戈}
Marigo Town {马里戈}
Marigo Fort {马里戈要塞}
Marigo Port {马里戈港口}

Panama Town {巴拿马}
Panama Fort {巴拿马要塞}
Panama Port {巴拿马港口}

Cartahena Town {卡塔赫纳}
Cartahena Fort {卡塔赫纳要塞}
Cartahena Port {卡塔赫纳港口}

Maracaibo Town {马拉开波}
Maracaibo Fort {马拉开波要塞}
Maracaibo Port {马拉开波港口}

Caracas Town {加拉加斯}
Caracas Fort {加拉加斯要塞}
Caracas Port {加拉加斯港口}

Cumana Town {库马纳}
Cumana Fort {库马纳要塞}
Cumana Port {库马纳港口}

SantaCatalina Town {圣卡塔利娜}
SantaCatalina Fort {圣卡塔利娜要塞}
SantaCatalina Port {圣卡塔利娜港口}

Beliz Town {伯利兹}
Beliz Fort {伯利兹要塞}
Beliz Port {伯利兹港口}

Providencia {普罗维登西亚}
Providencia Town {普罗维登西亚}
Providencia Fort {普罗维登西亚要塞}
Providencia Port {普罗维登西亚港口}

Philipsburg {菲利普斯堡}
Philipsburg Town {菲利普斯堡}
Philipsburg Fort {菲利普斯堡要塞}
Philipsburg Port {菲利普斯堡港口}

Fort inside {要塞内部}
Sea {海洋}
Jungle {丛林}
Street {街道}
Port {港口}
Tavern {酒馆}
BlueLion {酒馆 蓝狮}
Tavern upstairs {酒馆包间}
Store {商店}
Shipyard {船坞}
Packhouse {货栈}
PackhouseOffice {货栈办公室}
Warehouse {仓库}
Townhall {官邸}
Residence {官邸}
TownhallRoom {官邸房间}
PortOffice {港务局}
Church {教堂}
Doctor {医生住宅}
Farmacia {药房}
Usurer House {银行}
Bankvault {银行金库}
Brothel {妓院}
Brothel Room {私人房间}
Prison {监狱}
Incquisitio {宗教裁判所}
Malta_Dungeon {马耳他骑士团}
GWIKshort {西印度公司总部}
Admiralty {Admiralty}
House {住宅}
ammo {军械库}
Room {房间}
Cabinet {书房}
Bedroom {卧室}
Graveyard {墓地}
Chapel {小教堂}
Crypt {地下墓室}
Crypt dungeon {地下墓穴}
Exit {退出}
ExitTown {通往丛林的道路}
Gate {城门}
Duel Field {决斗场}
The cavern {洞穴}
Passage {吊桥}
Beach {海滩}
Cave {洞穴}
Cave entrance {洞穴入口}
Grot {岩洞}
Grotto {岩洞}
Mines {矿井}
Dungeon {地牢}
Village {村庄}
Plantation {种植园}
Minentown {矿镇}
Commandant {指挥官办公室}
UnderWater {水下}
KeepersHouse {看守人住宅}
Lighthouse Inside {灯塔内部}
GoToPlantation {通往种植园的道路}

MinentownOL {奥兰治-火山岩矿场}
MineTown_residence {奥兰治-火山矿镇指挥官办公室}

Reefs {北部礁群}
My_Ship {船只}
cabine {船舱}
My_Campus {军官室}
My_Deck_Medium {火炮甲板}
My_Deck {货舱}
My_Orlop {下甲板}
Boarding deck {上甲板}
Orlop deck {下甲板}

Morgan's House {摩根宅邸}
Morris's House {约翰.莫里斯宅邸}
Aaron's House {亚伦.门德斯.丘马塞罗宅邸}
Comendant's House {哈瓦那指挥官宅邸}
DEstre House {安德烈.德斯特雷住宅}
InesHouse {伊内斯.德.拉斯谢拉住宅}
Olone House {弗朗索瓦.洛洛努瓦住宅}
Ascold House {阿斯科德住宅}
Isabella's House {伊莎贝拉住宅}
Rosita's House {罗西塔.费尔南德斯住宅}
Loy_House {爱德华.洛住宅}
Orry_House {奥里.布鲁斯住宅}
MK_House {钥匙大师住宅}
Granie_house {格拉尼耶住宅}
Fushe_House {富歇住宅}
House Hoarder {囤积者住宅}
Sheppard_House {伊丽莎白.谢泼德宅邸}

LostShipsCity {正义岛}
LostShipsCity Town {沉船之城}
LSC South {沉船之城南部}
LSC North {沉船之城北部}
LSC Town {沉船之城街道}
RingLostShipsCity Town {外环区}

Ava Cabin {盖伦帆船 “夏娃号”}
Caroline cabin {护卫舰 “卡罗莱纳号”}
CeresSmithy cabin {福禄特帆船 “谷神星铁匠号”}
EsmeraldaStoreBig cabin {盖伦帆船 “埃斯梅拉达号”}
FenixPlatform cabin {“凤凰号” 平台}
FernandaDiffIndoor cabin {福禄特帆船 “费尔南达.迪芬杜尔号”}
FleuronTavern cabin {卡拉维尔帆船 “弗莱龙号”}
FurieShipInside2 cabin {皮纳斯帆船 “狂怒号”}
GloriaChurch cabin {盖伦帆船 “荣耀号”}
PlutoStoreSmall cabin {福禄特帆船 “冥王星号”}
ProtectorFisher cabin {轻型护卫舰 “守护者号”}
SanAugustineResidence cabin {战舰 “圣奥古斯丁号”}
SanGabrielMechanic cabin {三桅帆船 “圣加百列号”}
SantaFlorentinaShipInside4 cabin {双桅横帆船 “圣弗洛伦蒂娜号”}
TartarusPrison cabin {战列舰 “塔尔塔罗斯号”}
VelascoShipInside1 cabin {盖伦帆船 “维拉斯科号”}    
MelpomeneShipInside5 cabin {护卫舰 “墨尔波墨涅号”}
Boarding_deck_SantaLucia {“圣露西娅号” 甲板}
cabine_SantaLucia {“圣露西娅号” 船舱}
My_Deck_SantaLucia {“圣露西娅号” 货舱}

Incas Temple {印加神殿}
Tenochtitlan {特诺奇蒂特兰}
Xochiquetzal {“索奇奎特萨尔” 神殿}
Mictlantecuhtli {“米克特兰堤库特里” 神殿}
Quetzalcoatl {“魁札尔科亚特尔” 神殿}
Mixcoatl {“米斯科特尔” 神殿}
Tezcatlipoca {“特斯卡特利波卡” 神殿}
Chalchiuhtlicue {“查尔丘特里魁” 神殿}
Huitzilopochtli {“维齐洛波奇特利” 神殿}
Tlaloc {“特拉洛克” 神殿}
Mayahuel {“玛雅霍尔” 神殿}
Tonacatecuhtli {“托纳卡特库特利” 神殿}
TempleGreatInside {大神殿}
TempleRoundInside {白色神殿}
TempleSecondInside {祭祀神殿}
TempleUnderwater {水下迷宫}
LeBasque_House           {聚落首领之居}
LeBasque_room            {勒巴斯克的房间}
Bucaneer_outpost          {海盗哨所}
Arabella_Deck             {五伤号甲板}
